Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,Maintenance Agreements,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33538,0,38500,38500,38500,38500,38659,44641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30938,0,8520,12860,19984,15032,12259,26909
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Cash Disbursements to Schools,,This special fund budget collects funding resulting from the county tax levy to be distributed to Macoupin Center for the Developmentally Disabled and the Illinois Valley Economic Development Corporation on a quarterly basis.,County Board Office,62250,68000,68000,73000,83000,83000,83000,88000,103000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,0,0,52000,52000,52000,52000,52000,52000,52000,52000,82500,60000,37000,97000,0,67000,82000,87000,87014,87000,122000,34500,51999,52000,52000,52000,52000,52000,52000,52000,52000,0,0,52000,52000,52000,52000,52000,52000,52000,34500,71004,55000
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Macoupin County Association of Mentally Handicapped Children,,This special fund budget collects funding resulting from the county tax levy to be distributed to Macoupin Center for the Developmentally Disabled and the Illinois Valley Economic Development Corporation on a quarterly basis.,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Illinois Valley Development Corporation,,This special fund budget collects funding resulting from the county tax levy to be distributed to Macoupin Center for the Developmentally Disabled and the Illinois Valley Economic Development Corporation on a quarterly basis.,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,52000.00,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,69,Sheriff's Equipment Grant,Sheriff's Equipment Grant,Equipment,,This special fund housed a one time grant used by the Sheriff's office to buy equipment for deputies. Any current grants are now housed in the Grant Fund.,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,70,Rural Water Grant,Rural Water Grant,Capital Outlay,,This special fund was used for a one time grant to improve rural water systems. The fund was abolished in 2007.,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362200,37900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,72,Solid Waste Management Fund,Solid Waste Management Fund,Miscellaneous,,This fund was set up as part of the state's requirement for a solid waste management plan and implementation of it. The fund was abolished in 2007.,County Board Office,0,0,1000,0,0,12100,0,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,73,Vital Records Automation,Vital Records Automation,Scanning Documents,,This fund was set up as part of the state's requirement for a solid waste management plan and implementation of it. The fund was abolished in 2007.,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,73,Vital Records Automation,Vital Records Automation,Miscellaneous,,"This fund was established as a result of Resolution 2007.56 and is a fund under the control of the County Clerk for the development, maintenance, and improvement of technology in the County Clerk's office.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,13000,3000,3000,3000,50000,10000,10000,10000,10000,10000,20000,10001,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,4073,2165,2269,3000,50000,10000.00,8916,5664,9987,20000,13399,6955,9073,1408,3760,490
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,74,County Tax Sale Fund,County Tax Sale Fund,General Government,,,County Tax Expenses,1000,22000,22000,22000,50000,50000,0,50000,50000,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,75,States Attorney - DUI Task Force ,States Attorney - DUI Task Force ,Miscellaneous,,,State's Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,76,Delinquent Real Estate Taxes Liquidation Fund,Delinquent Real Estate Taxes Liquidation Fund,Miscellaneous,,This special fund is composed from a percentage of receipts from the County's delinquent tax program and funds are used to pay for publication and other related costs of the program.,County Tax Expenses,0,0,0,2000,2000,5000,2000,2000,2000,2000,144000,4000,4000,4000,20000,4000,4000,4000,5000,0,0,5000,10000,273160,5000,5000,5000,5000,0,5000,0,0,0,0,241,4433,1094,1226,1748,186617,3534,143634,2774,2028,2613,4411,1426,3570,2398,4870,0,7486,7366,7101,273160,5000,16345,5499,0,4403,6727,8960
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Salaries,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this fund was to fund the County Clerk's purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed. The fund was abolished in 2011 and all real estate stamp transactions are handled in the General Fund.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95287,0,0,0,0,0,0,0,0,0,0,0,10827,14321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Commodities,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this fund was to fund the County Clerk's purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed. The fund was abolished in 2011 and all real estate stamp transactions are handled in the General Fund.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Supplies,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this fund was to fund the County Clerk's purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed. The fund was abolished in 2011 and all real estate stamp transactions are handled in the General Fund.",County Clerk,150000,175000,175000,175000,175000,175000,175000,90000,96000,125000,121000,300000,215000,150000,13000,55000,60000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,66951,75115,0,111864,175000,73079,208084,103057,93674,106752,120049,189109,177318,14863,9199,29010,59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,78,Sheriff's Drug Fund,Sheriff's Drug Fund,Miscellaneous,,"This fund is composed of restitution money from fines paid to the Circuit Clerk's Traffic and Criminal office by individuals arrested on drug charges. Also, forfeited funds are deposited per statute 720 ILCS 550/12 (g)(1).",Sheriff,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,3000,3000,3000,3800,1000,1000,1000,1000,1000,1000,0,0,0,0,0,2100,0,0,228,0,0,1340,492,1665,0,4063,289,1225,1525,0,700,700,0,0,0,0,0,0,0,0,0,0,46706,61,755,97,40
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Salaries,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32959,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Supplies,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,31500,18921,5000,13250,5000,5000,5000,5000,5000,11500,5000,5000,5000,4531,2369,3400,1604,3400,12368,20000,20000,3000,16764,36135,21426,38500,40000,36730,41434,41434,41434,34595,4795,0,139,593,2864,787,1416,661,1229,4927,2897,2442,3072,832,3362,1604,2922,12368,5286,10201.00,1442,16764,25279,38500,10092,7649,10629,7287,12184,14981
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Utilities,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,6500,6500,5500,5500,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,0,0,2259,1811,1581,1745,2069
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Travel,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0,0,1500,0,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Equipment,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0,0,15000,13250,15000,15000,15000,15000,15000,15000,15000,15000,15000,13656,4681,1000,3142,1000,1280,1000,1000,0,3650,0,4500,6500,0,0,0,0,0,0,0,0,180,0,0,26085,1060,2378,2064,12157,11433,1744,9656,4630,0,3142,0,1280,0,1000.00,0,2680,0,6500,2375,0,0,0,0,0
